Pathways	Object ID	Names	Enzymes of pathway	Reactions of pathway	Ontology - pathway type	Ontology -  all instances of class	Species	Taxonomic-Range
L-alanine degradation IV	PWY1-2	L-alanine degradation IV	alanine dehydrogenase subunit // L-alanine dehydrogenase subunit // L-alanine dehydrogenase subunit // alanine dehydrogenase subunit // alanine dehydrogenase subunit	L-alanine + NAD+ + H2O  <-->  pyruvate + ammonium + NADH + H+	Amino Acid Degradation		Phormidium lapideum // Bacillus cereus // Bacillus subtilis // Klebsiella aerogenes // Bilophila wadsworthia	Bacteria <bacteria> // Archaea
L-alanine degradation III	ALANINE-DEG3-PWY	L-alanine degradation III	alanine aminotransferase subunit // alanine aminotransferase 2 // alanine aminotransferase 1	L-alanine + 2-oxoglutarate  <-->  pyruvate + L-glutamate	Amino Acid Degradation		Candida maltosa // Canis lupus // Homo sapiens // Rattus norvegicus	Eukaryota
L-alanine degradation II (to D-lactate)	ALACAT2-PWY	L-alanine degradation II (to D-lactate)	alanine aminotransferase // D-lactate dehydrogenase subunit // glutamate dehydrogenase subunit	L-glutamate + NAD+ + H2O  <-->  2-oxoglutarate + ammonium + NADH + H+ // (R)-lactate + NAD+  <-->  pyruvate + NADH + H+ // L-alanine + 2-oxoglutarate  <-->  pyruvate + L-glutamate	Amino Acid Degradation		Anaerotignum propionicum	Viridiplantae // Bacillota
L-alanine degradation I	ALADEG-PWY	L-alanine degradation I	negative regulator of MalT activity/cystathionine &beta;-lyase // cystathionine beta-lyase / L-cysteine desulfhydrase / alanine racemase // alanine racemase 2 // alanine racemase 1 // D-amino acid dehydrogenase	D-alanine dehydrogenase // L-alanine  <-->  D-alanine	Amino Acid Degradation		Escherichia coli	Bacteria <bacteria>
L-alanine biosynthesis III	PWY0-1021	L-alanine biosynthesis III	cysteine desulfurase IscS // mitochondrial cysteine desulfurase NFS1 // cysteine desulfurase	L-cysteine + unsulfurated [sulfur carrier]  ->  L-alanine + sulfurated [sulfur carrier]	Amino Acid Biosynthesis		Bacillus subtilis // Escherichia coli // Homo sapiens	Eukaryota // Bacteria <bacteria>
L-alanine biosynthesis II	ALANINE-SYN2-PWY	L-alanine biosynthesis II	alanine aminotransferase 2 // alanine aminotransferase 1 // glutamate&mdash;pyruvate aminotransferase AlaC // glutamate&mdash;pyruvate aminotransferase AlaA	L-alanine + 2-oxoglutarate  <-->  pyruvate + L-glutamate	Amino Acid Biosynthesis		Escherichia coli // Homo sapiens	Eukaryota // Bacteria <bacteria>
L-alanine biosynthesis I	ALANINE-VALINESYN-PWY	L-alanine biosynthesis I	valine&mdash;pyruvate aminotransferase	L-valine + pyruvate  <-->  3-methyl-2-oxobutanoate + L-alanine	Amino Acid Biosynthesis		Escherichia coli	Bacteria <bacteria>
koreenceine B biosynthesis	PWY-8595	koreenceine B biosynthesis	5-oxotetradecanal aminotransferase/reductase // NAD(P)-dependent oxidoreductase // polyketide synthase KecDE // polyketide synthase KecBC // 3-oxoacyl-ACP reductase KecG	3R-hydroxy-5-oxotetradecanoyl-[acp]  ->  (2E)-5-oxotetradec-2-enoyl-[acp] + H2O // 3R-hydroxy-5-oxotetradecanoyl-[acp] + NADP+  <-  3,5-dioxotetradecanoyl-[acp] + NADPH + H+ // decanoyl-[acp] + malonyl-CoA + H+  ->  3-oxododecanoyl-[acp] + CO2 + coenzyme A // 3-oxododecanoyl-[acp] + malonyl-CoA + H+  ->  3,5-dioxotetradecanoyl-[acp] + CO2 + coenzyme A // 5-oxotetradecanoyl-[acp] + NAD+  <-->  (2E)-5-oxotetradec-2-enoyl-[acp] + NADH + H+ // 5-oxotetradecanoyl-[acp] + NADPH + H+  ->  5-oxotetradecanal + an acyl-carrier protein + NADP+ // 5-oxotetradecanal + L-alanine  <-->  1-aminotetradecan-5-one + pyruvate // 1-aminotetradecan-5-one  ->  koreenceine B + H2O	Secondary Metabolite Biosynthesis		Pseudomonas koreensis	Bacteria <bacteria>
kojibiose degradation	PWY-7459	kojibiose degradation	kojibiose phosphorylase // kojibiose phosphorylase // &beta;-phosphoglucomutase	beta-D-glucopyranose 1-phosphate  <-->  beta-D-glucose 6-phosphate // kojibiose + phosphate  <-->  D-glucopyranose + beta-D-glucopyranose 1-phosphate	Carbohydrate Degradation		Caldicellulosiruptor saccharolyticus // Pyrococcus sp. ST04 // Thermoanaerobacter brockii	Bacteria <bacteria> // Archaea
kievitone detoxification	PWY-7635	kievitone detoxification	kievitone hydratase	kievitone hydrate  <-  kievitone + H+ + H2O	Secondary Metabolite Degradation		Fusarium phaseoli	Fungi
kievitone biosynthesis	PWY-4681	kievitone biosynthesis	DMAPP:isoflavone dimethylallyl transferase	2,3-dehydrokievitone + NADPH + H+  ->  kievitone + NADP+ // 2'-hydroxygenistein + prenyl diphosphate  ->  2,3-dehydrokievitone + diphosphate // dalbergioidin + prenyl diphosphate  ->  kievitone + diphosphate // dalbergioidin + NADP+  <-  2'-hydroxygenistein + NADPH + H+	Aromatic Compound Biosynthesis // Secondary Metabolite Biosynthesis		Phaseolus vulgaris // Lupinus albus	Fabaceae
ketomemicin biosynthesis	PWY-8529	ketomemicin biosynthesis	ketomemicin dipeptide ligase // arginine amidinotransferase // (2E,5S)-5-amino-2-benzyl-4-oxo-6-phenylhex-2-enoate dehydrogenase // benzylfumaryltransferase // benzylmalyl-CoA dehydratase // benzylmalyl-CoA aldolase	L-phenylalanine + pyruvate  <-->  3-phenyl-2-oxopropanoate + L-alanine // malonyl-CoA + 3-phenyl-2-oxopropanoate + H+  <-->  2-benzylmalyl-CoA + CO2 // 2-benzylmalyl-CoA  ->  2-benzylfumaryl-CoA + H2O // 2-benzylfumaryl-CoA + L-phenylalanine + H+  ->  (2E,5S)-5-amino-2-benzyl-4-oxo-6-phenylhex-2-enoate + CO2 + coenzyme A // (2E,5S)-5-amino-2-benzyl-4-oxo-6-phenylhex-2-enoate + NADPH + H+  ->  (2R,5S)-5-amino-2-benzyl-4-oxo-6-phenylhexanoate + NADP+ // 2 L-arginine  ->  N-amidino-L-arginine + L-ornithine // N-amidino-L-arginine + (2R,5S)-5-amino-2-benzyl-4-oxo-6-phenylhexanoate + ATP  ->  ketomemicin B3 + ADP + phosphate	Secondary Metabolite Biosynthesis		Streptomyces mobaraensis	Actinomycetota
ketolysis	PWY66-368	ketolysis // ketone body metabolism // ketone body degradation	mitochondrial D-&beta;-hydroxybutyrate dehydrogenase // succinyl-CoA:3-ketoacid-coenzyme A transferase 1, mitochondrial // mitochondrial acetyl-CoA acetyltransferase	2 acetyl-CoA  <-->  acetoacetyl-CoA + coenzyme A // succinyl-CoA + acetoacetate  <-->  succinate + acetoacetyl-CoA // (R)-3-hydroxybutanoate + NAD+  <-->  acetoacetate + NADH + H+	Generation of Precursor Metabolites and Energy		Homo sapiens	Chordata
ketogluconate metabolism	KETOGLUCONMET-PWY	ketogluconate metabolism	5-keto-D-gluconate 5-reductase // D-gluconate kinase, thermosensitive // L-idonate 5-dehydrogenase // 2,5-didehydrogluconate reductase // 2,5-diketo-D-gluconate reductase A // methylglyoxal reductase DkgB // methylglyoxal reductase DkgA // glyoxylate reductase	L-idonate 2-dehydrogenase // 2-keto-L-gulonate + NADP+  <-  2,5-didehydro-D-gluconate + NADPH + H+ // 2-keto-D-gluconate + NADP+  <-->  2,5-didehydro-D-gluconate + NADPH + H+ // L-idonate + NAD(P)+  <-->  5-dehydro-D-gluconate + NAD(P)H + H+ // ATP + D-gluconate  ->  D-gluconate 6-phosphate + ADP + H+ // D-gluconate + NAD(P)+  <-->  5-dehydro-D-gluconate + NAD(P)H + H+ // D-gluconate + NADP+  <-  2-keto-D-gluconate + NADPH + H+ // 5-dehydro-D-gluconate 2-dehydrogenase	Carboxylic Acid Degradation // Superpathways		Escherichia coli // Corynebacterium sp. SHS 0007	Bacteria <bacteria>
ketogenesis	PWY66-367	ketogenesis // acetoacetate biosynthesis // ketone body synthesis	cytosolic acetyl-CoA acetyltransferase // mitochondrial acetyl-CoA acetyltransferase // hydroxymethylglutaryl-CoA synthase // mitochondrial hydroxymethylglutaryl-CoA synthase // mitochondrial hydroxymethylglutaryl-CoA lyase // mitochondrial D-&beta;-hydroxybutyrate dehydrogenase // acetoacetate decarboxylase	acetoacetate + H+  ->  acetone + CO2 // (R)-3-hydroxybutanoate + NAD+  <-->  acetoacetate + NADH + H+ // (S)-3-hydroxy-3-methylglutaryl-CoA  ->  acetoacetate + acetyl-CoA // acetyl-CoA + acetoacetyl-CoA + H2O  ->  (S)-3-hydroxy-3-methylglutaryl-CoA + coenzyme A + H+ // 2 acetyl-CoA  <-->  acetoacetyl-CoA + coenzyme A	Generation of Precursor Metabolites and Energy		Homo sapiens	Chordata
Kdo8N transfer to lipid IV<sub>A</sub>	PWY-7676	Kdo8N transfer to lipid IVA	8-amino-3,8-dideoxy-D-manno-octulosonate transferase // 8-amino-3,8-dideoxy-D-manno-octulosonate kinase	an alpha-Kdo8N-(2->6)-lipid IVA + ATP  ->  a 4-O-phospho-alpha-Kdo8N-(2->6)-lipid IVA + ADP + H+ // CMP-8-amino-3,8-dideoxy-alpha-D-manno-octulosonate + a lipid IVA  ->  an alpha-Kdo8N-(2->6)-lipid IVA + CMP + H+	Glycan Pathways // Cell Structure Biosynthesis		Shewanella oneidensis	Shewanellaceae
Kdo-lipid A biosynthesis (<i>Vibrio cholerae</i> serogroup O1 El Tor)	PWY-8378	Kdo-lipid A biosynthesis (Vibrio cholerae serogroup O1 El Tor)	myristoyl acyltransferase LpxL // 3-hydroxylauroyl transferase LpxN	(3R)-3-hydroxydodecanoyl-[acp] + C14:0--phospho-alpha-Kdo-(2->6)-lipid IVA (Vibrio cholerae serogroup O1 El Tor)  ->  phospho-alpha-Kdo-lipid A (Vibrio cholerae serogroup O1 El Tor) + an acyl-carrier protein // myristoyl-[acp] + 4-O-phospho-alpha-Kdo-(2->6)-lipid IVA (Vibrio cholerae serogroup O1 El Tor)  ->  C14:0--phospho-alpha-Kdo-(2->6)-lipid IVA (Vibrio cholerae serogroup O1 El Tor) + an acyl-carrier protein	Glycan Pathways // Cell Structure Biosynthesis // Fatty Acid and Lipid Biosynthesis		Vibrio cholerae O1	Vibrionaceae
Kdo transfer to lipid IV<sub>A</sub> (<i>Vibrio cholerae</i> serogroup O1 El Tor)	PWY-8284-1	Kdo transfer to lipid IVA (Vibrio cholerae serogroup O1 El Tor)	lipid IV<small><sub>A</sub></small> 3-deoxy-<small>D</small>-<em>manno</em>-octulosonic acid transferase // 3-deoxy-<small>D</small>-<em>manno</em>-octulosonic acid kinase	alpha-Kdo-(2->6)-lipid IVA (Vibrio cholerae serogroup O1 El Tor) + ATP  ->  4-O-phospho-alpha-Kdo-(2->6)-lipid IVA (Vibrio cholerae serogroup O1 El Tor) + ADP + H+ // CMP-3-deoxy-beta-D-manno-octulosonate + lipid IVA (Vibrio cholerae serogroup O1 El Tor)  ->  alpha-Kdo-(2->6)-lipid IVA (Vibrio cholerae serogroup O1 El Tor) + CMP + H+	Glycan Pathways // Cell Structure Biosynthesis		Vibrio cholerae O1	Vibrio cholerae
Kdo transfer to lipid IV<sub>A</sub> (single Kdo residue)	PWY-7675	Kdo transfer to lipid IVA (single Kdo residue)	3-deoxy-D-manno-octulosonate kinase	an alpha-Kdo-(2->6)-[lipid IVA] + ATP  ->  a 4-O-phospho-alpha-Kdo-(2->6)-lipid IVA + ADP + H+ // CMP-3-deoxy-beta-D-manno-octulosonate + a lipid IVA  ->  an alpha-Kdo-(2->6)-[lipid IVA] + CMP + H+	Glycan Pathways // Cell Structure Biosynthesis		Bordetella pertussis // Haemophilus influenzae // Vibrio cholerae	Pseudomonadota
Kdo transfer to lipid IV<sub>A</sub> (<i>P. putida</i>)	PWY-8074	Kdo transfer to lipid IVA (P. putida)		CMP-3-deoxy-beta-D-manno-octulosonate + alpha-Kdo-(2->6)-lipid IVA (P. putida)  ->  alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA (P. putida) + CMP + H+ // CMP-3-deoxy-beta-D-manno-octulosonate + lipid IVA (P. putida)  ->  alpha-Kdo-(2->6)-lipid IVA (P. putida) + CMP + H+	Glycan Pathways // Cell Structure Biosynthesis		Pseudomonas putida	Pseudomonadaceae
Kdo transfer to lipid IV<sub>A</sub> (<i>P. gingivalis</i>)	PWY-8246	Kdo transfer to lipid IVA (P. gingivalis)	3-deoxy-D-<i>manno</i>-octulosonic acid transferase	CMP-3-deoxy-beta-D-manno-octulosonate + alpha-Kdo-(2->6)-lipid IVA (P. gingivalis)  ->  alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA (P. gingivalis) + CMP + H+ // CMP-3-deoxy-beta-D-manno-octulosonate + lipid IVA (P. gingivalis)  ->  alpha-Kdo-(2->6)-lipid IVA (P. gingivalis) + CMP + H+	Glycan Pathways // Cell Structure Biosynthesis		Porphyromonas gingivalis	Bacteroidales
Kdo transfer to lipid IV<sub>A</sub> (<i>H. pylori</i>)	PWY2DNV-1	Kdo transfer to lipid IVA (H. pylori)	3-deoxy-D-manno-octulosonic-acid transferase	CMP-3-deoxy-beta-D-manno-octulosonate + alpha-Kdo-(2->6)-lipid IVA (H. pylori)  ->  alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA (H. pylori) + CMP + H+ // CMP-3-deoxy-beta-D-manno-octulosonate + lipid IVA (H. pylori)  ->  alpha-Kdo-(2->6)-lipid IVA (H. pylori) + CMP + H+	Glycan Pathways // Cell Structure Biosynthesis		Helicobacter pylori	Helicobacter pylori
Kdo transfer to lipid IV<sub>A</sub> (generic)	PWY-8284	Kdo transfer to lipid IVA (generic)	(Kdo)-lipid IV<sub>A</sub> 3-deoxy-D-<i>manno</i>-octulosonic acid transferase	CMP-3-deoxy-beta-D-manno-octulosonate + an alpha-Kdo-(2->6)-[lipid IVA]  ->  an alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-[lipid IVA] + CMP + H+ // CMP-3-deoxy-beta-D-manno-octulosonate + a lipid IVA  ->  an alpha-Kdo-(2->6)-[lipid IVA] + CMP + H+	Glycan Pathways // Cell Structure Biosynthesis		Chlamydia pneumoniae // Escherichia coli	Candidatus Krumholzibacteriota // Bacteria incertae sedis // Caldisericota/Cryosericota group // Calditrichota // Coleospermum // Coprothermobacterota // Deferribacterota // Elusimicrobiota // Synergistota // Dictyoglomota // Halanaerobiales // Thermodesulfobacteriota // Negativicutes // Cyanobacteriota/Melainabacteria group // Spirochaetota // Nitrospinota/Tectimicrobiota group // Nitrospirota // Fusobacteriota // FCB group // Chrysiogenota // Aquificota // Acidobacteriota // PVC group // Pseudomonadota
Kdo transfer to lipid IV<sub>A</sub> (four Kdo residues)	PWY-6467	Kdo transfer to lipid IVA (four Kdo residues)	(Kdo)-lipid IV<sub>A</sub> 3-deoxy-D-<i>manno</i>-octulosonic acid transferase // 3-deoxy-D-manno-2-octulosonate transferase	CMP-3-deoxy-beta-D-manno-octulosonate + an alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-[lipid IVA]  ->  an alpha-Kdo-(2->4)-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA + CMP + H+ // CMP-3-deoxy-beta-D-manno-octulosonate + an alpha-Kdo-(2->6)-[lipid IVA]  ->  an alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-[lipid IVA] + CMP + H+ // CMP-3-deoxy-beta-D-manno-octulosonate + a lipid IVA  ->  an alpha-Kdo-(2->6)-[lipid IVA] + CMP + H+ // an alpha-Kdo-(2->8)-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA + CMP-3-deoxy-beta-D-manno-octulosonate  ->  an alpha-Kdo-(2->8)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA + CMP + H+ // CMP-3-deoxy-beta-D-manno-octulosonate + an alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-[lipid IVA]  ->  an alpha-Kdo-(2->8)-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA + CMP + H+	Glycan Pathways // Cell Structure Biosynthesis		Chlamydia pneumoniae // Chlamydia psittaci // Chlamydia psittaci	PVC group
Kdo transfer to lipid IV<sub>A</sub> (<i>E. coli</i>)	KDOSYN-PWY	Kdo transfer to lipid IVA (E. coli)	KDO transferase	CMP-3-deoxy-beta-D-manno-octulosonate + alpha-Kdo-(2->6)-lipid IVA (E. coli)  ->  alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA (E. coli) + CMP + H+ // CMP-3-deoxy-beta-D-manno-octulosonate + lipid IVA (E. coli)  ->  alpha-Kdo-(2->6)-lipid IVA (E. coli) + CMP + H+	Glycan Pathways // Cell Structure Biosynthesis		Escherichia coli	Enterobacteriaceae
Kdo transfer to lipid IV<sub>A</sub> (<i>Brucella</i>)	PWY2B4Q-6	Kdo transfer to lipid IVA (Brucella)	lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase	CMP-3-deoxy-beta-D-manno-octulosonate + alpha-Kdo-(2->6)-lipid IVA (Brucella)  ->  alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA (Brucella) + CMP + H+ // CMP-3-deoxy-beta-D-manno-octulosonate + lipid IVA (Brucella)  ->  alpha-Kdo-(2->6)-lipid IVA (Brucella) + CMP + H+	Glycan Pathways // Cell Structure Biosynthesis		Brucella abortus	Hyphomicrobiales
kavain biosynthesis	PWY-8103	kavain biosynthesis // kawain biosynthesis	styrylpyrone synthase 1 // styrylpyrone reductase 1 // styrylpyrone <i>O</i>-methyltransferase 1	(E)-5,6-dihydro-4-hydroxy-6-(styryl)pyran-2-one + S-adenosyl-L-methionine  ->  kavain + S-adenosyl-L-homocysteine + H+ // (E)-5,6-dihydro-4-hydroxy-6-(styryl)pyran-2-one + NADP+  <-  (E)-4-hydroxy-6-(styryl)pyran-2-one + NADPH + H+ // (6E)-3,5-dioxo-7-phenylhept-6-enoyl-[styrylpyrone synthase]  ->  (E)-4-hydroxy-6-(styryl)pyran-2-one + polyketide synthase // (E)-cinnamoyl-CoA + 2 malonyl-CoA + polyketide synthase + 2 H+  ->  (6E)-3,5-dioxo-7-phenylhept-6-enoyl-[styrylpyrone synthase] + 2 CO2 + 3 coenzyme A	Aromatic Compound Biosynthesis		Piper methysticum	Piper
kauralexin biosynthesis	PWY-6887	kauralexin biosynthesis	terpene synthase 1 // <i>ent</i>-copalyl diphosphate synthase	kauralexin A1 + 2 reduced [NADPH-hemoprotein reductase] + 2 dioxygen  ->  kauralexin A3 + 2 oxidized [NADPH-hemoprotein reductase] + 3 H2O // ent-isokaurene + 3 reduced [NADPH-hemoprotein reductase] + 3 dioxygen  ->  kauralexin B1 + 3 oxidized [NADPH-hemoprotein reductase] + 4 H2O + H+ // kauralexin B3 + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  kauralexin B2 + oxidized [NADPH-hemoprotein reductase] + H2O + H+ // kauralexin B1 + 2 reduced [NADPH-hemoprotein reductase] + 2 dioxygen  ->  kauralexin B3 + 2 oxidized [NADPH-hemoprotein reductase] + 3 H2O // ent-kaurene + 2 reduced [NADPH-hemoprotein reductase] + 2 dioxygen  ->  kauralexin A1 + 2 oxidized [NADPH-hemoprotein reductase] + 2 H2O + H+ // kauralexin A3 + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  kauralexin A2 + oxidized [NADPH-hemoprotein reductase] + H2O + H+ // (-)-ent-copalyl diphosphate  ->  ent-isokaurene + diphosphate // (-)-ent-copalyl diphosphate  ->  ent-kaurene + diphosphate // geranylgeranyl diphosphate  ->  (-)-ent-copalyl diphosphate	Superpathways // Secondary Metabolite Biosynthesis		Zea mays	Embryophyta
&kappa;-carrageenan degradation	PWY-6821	kappa-carrageenan degradation	&kappa;-carrageenase // neocarratetraose 4-<i>O</i>-monosulfate &beta;-hydrolase // neocarrabiose sulfate/neotetraose disulfate 4-sulfatase	neocarrabiose sulfate + H2O  ->  neocarrabiose + sulfate + H+ // neocarratetraose 4-O-sulfate + H2O  ->  neocarrabiose + neocarrabiose sulfate // glycosulfatase // kappa-carrageenose + n H2O  ->  n neocarrabiose sulfate + n neocarratetraose 4-O-disulfate	Polymeric Compound Degradation // Carbohydrate Degradation		Coraliomargarita akajimensis // Pseudoalteromonas carrageenovora // Pseudoalteromonas sp. AJ5 // Pseudoalteromonas sp. LL1 // Rhodopirellula baltica // Zobellia galactanivorans	Bacteria <bacteria>
kanosamine biosynthesis II	PWY8J2-22	kanosamine biosynthesis II	kanosamine-6-phosphate phosphatase // 3-oxo-glucose-6-phosphate:glutamate aminotransferase // glucose-6-phosphate 3-dehydrogenase	D-glucopyranose 6-phosphate + NAD+  ->  3-dehydro-D-glucose 6-phosphate + NADH + H+ // D-kanosamine 6-phosphate + 2-oxoglutarate  <-->  3-dehydro-D-glucose 6-phosphate + L-glutamate // D-kanosamine 6-phosphate + H2O  ->  kanosamine + phosphate	Secondary Metabolite Biosynthesis		Bacillus subtilis	Bacteria <bacteria>
kanosamine biosynthesis I	PWY-5978	kanosamine biosynthesis I	UDP-&alpha;-D-glucose 3-dehydrogenase // 3-amino-5-hydroxybenzoate synthase/UDP-3-dehydro-D-glucose transaminase // UDP-&alpha;-D-kanosamine hydrolase	UDP-alpha-D-kanosamine + H2O  ->  kanosamine + UDP + H+ // UDP-alpha-D-kanosamine + 2-oxoglutaramate  <-->  UDP-3-dehydro-alpha-D-glucose + L-glutamine // UDP-alpha-D-glucose + NAD+  ->  UDP-3-dehydro-alpha-D-glucose + NADH + H+	Secondary Metabolite Biosynthesis		Amycolatopsis mediterranei // Bacillus pumilus	Bacteria <bacteria>
