Enzyme	GO terms (biological process)	Names	Reactions catalyzed by enzyme	EC-Number
CPLX0-8292			RXN-14367 // GLUCONATE-5-DEHYDROGENASE-RXN // RXN0-7101	EC-1.1.1 // EC-1.1.1.69
AT1G77590-MONOMER		long-chain acyl-CoA synthetase 9	RXN-20651 // RXN-16402 // RXN-16401 // RXN-16389 // RXN-9623 // RXN-9673 // ARACHIDONATE--COA-LIGASE-RXN // RXN-16380 // RXN-19960 // RXN-12185 // RXN-7904 // RXN-9644	EC-6.2.1.3 // EC-6.2.1.15 // EC-6.2.1
MONOMER-17238		glutamate--6'-dehydroparomanine aminotransferase // NeoB // NeoN	RXN-13175 // RXN-13146	EC-2.6.1.95 // EC-2.6.1.93
CPLX-7076		acyl-coA hydrolase (long chain)	LINOLEOYL-RXN // RXN-15010 // RXN-23033 // RXN-13446 // RXN-10662 // RXN-9629 // RXN-22880 // RXN-9666 // RXN-9628 // RXN-7938 // RXN-9626 // RXN-14255 // ACETYL-COA-HYDROLASE-RXN // THIOESTER-RXN // RXN-14251 // RXN-16395 // ACETOACETYL-COA-HYDROLASE-RXN // RXN-16063 // RXN-2005 // RXN-13247 // RXN-20355 // RXN-9624 // RXN-9627 // 3.1.2.19-RXN // RXN-11668 // 3.1.2.18-RXN // PALMITOYL-COA-HYDROLASE-RXN // ACYL-COA-HYDROLASE-RXN	EC-3.1.2 // EC-3.1.2.20 // EC-3.1.2.2 // EC-3.1.2.18 // EC-3.1.2.1 // EC-3.1.2.11 // EC-3.1.2.19
CPLX-1902		acyl-lipid &omega;-6 desaturase // oleate desaturase // oleate &Delta;<sup>12</sup> desaturase // &omega;-6 oleate desaturase // acyl-lipid 12-desaturase, endoplasmic reticulum	RXN-9669 // RXN-8360 // RXN-8322 // RXN-8328 // RXN-8324 // RXN-8330 // RXN-8327 // RXN-8320	EC-1.14.19.22
CPLX1G01-210		trivalent organoarsenical oxidase ArsH1	RXN1G01-63 // RXN-21018 // RXN-21017	EC-1.20.1.b
MONOMER-124957		digoxin reductase	RXN-25222	EC-1.3.2
CPLX-8687		alcohol dehydrogenase I	OCTANOL-DEHYDROGENASE-RXN // RXN-13198 // HEXANOL-RXN // HEXADECANOL-DEHYDROGENASE-RXN // RXN66-478 // RXN-161 // RXN-13748 // RXN-11968 // ALCOHOL-DEHYDROG-GENERIC-RXN // RXN-7706 // RXN3O-4113 // RXN-13099 // ALCOHOL-DEHYDROG-RXN // RXN-7700 // 1.1.1.190-RXN // RXN-7657 // RXN-7693 // RXN-7694	EC-1.1.1.73 // EC-1.1.1.1 // EC-1.1.1 // EC-1.1.1.164 // EC-1.1.1.354 // EC-1.1.1.347 // EC-1.1.1.190
MONOMER-18338		4-hydroxy-2-methyl-3-oxo-4-farnesyl-3,4-dihydroquinoline-1-oxide 3-reductase // AuaH	RXN-17420 // RXN-15030	EC-1.1.1.394
MONOMER-11924		fumarate reductase	R601-RXN	EC-1.3.5.1
CPLX-85413		&beta;-galactosidase	BETAGALACTOSID-RXN // 3.2.1.23-RXN	EC-3.2.1.23 // EC-3.2.1.108
MONOMER-125071		UDP-galactose&mdash;undecaprenyl phosphate &alpha;-D-galactosyltransferase // GtlA	RXN-25483	EC-2.4.1
HS11970-MONOMER		UDP-glucuronosyltransferase 1-4 // UDP-glucuronosyltransferase 1A4 // bilirubin-specific UDPGT isozyme 2 // UDPGT 1-4 // UDP glycosyltransferase 1 family, polypeptide A4 // hUG-BR2 // UGT-1D // UDP-glucuronosyltransferase 1-D	RXN-19361 // RXN-19360 // RXN-19358 // RXN-19359 // RXN66-83 // RXN66-168	EC-2.4.1.17
SIROHEMESYN-CPLX		siroheme synthase	RXN-13403 // RXN-8675 // UROPORIIIMETHYLTRANSA-RXN // DIMETHUROPORDEHYDROG-RXN // SIROHEME-FERROCHELAT-RXN	EC-2.1.1.107 // EC-1.3.1.76 // EC-4.99.1.4
CPLX-3244		MADH	RXN-2841	EC-1.4.9.1
MONOMER-14475		sphingolipid 8-desaturase // &Delta;<sup>8</sup>-fatty-acid desaturase	RXN-16374	EC-1.14.19.18
CPLX-7716			1.14.11.1-RXN	EC-1.14.11.1
MONOMER-14959		selinene synthase	RXN-10685 // RXN-8587	EC-4.2.3.66 // EC-4.2.3.198
CPLX-8647		dihydroneopterin aldolase	H2NEOPTERINALDOL-RXN	EC-4.1.2.25
CPLX-9755		AntC non-ribosomal peptide synthase	RXN-23201 // RXN-23202 // RXN-23199 // RXN-23200	EC-6.2.1 // EC-6.2.1.70
CPLX-7487		glucosyl-3-phosphoglycerate synthase	RXN-8851	EC-2.4.1.266
CPLX66-499		pantothenate kinase 2 // type II pantothenate kinase	PANTOTHENATE-KIN-RXN	EC-2.7.1.33
MONOMER-15201		AcuN	RXN-10985	EC-2.3.1
MONOMER-20473		AngN	RXN-19496 // RXN-19495	EC-3.13.1 // EC-2.3.1
MONOMER-13167		isocitrate dehydrogenase (NADP-dependent) // Icd	ISOCITDEH-RXN // RXN-9951 // RXN-8642	EC-1.1.1.42
HS06436-MONOMER	GO:0006631 // GO:0006635	mitochondrial trifunctional enzyme &beta; subunit // acetyl-CoA acyltransferase // &beta;-ketothiolase // TP-beta	RXN-21787 // RXN-17791 // RXN-17787 // RXN-17778 // RXN-16561 // RXN-16560 // 2.3.1.155-RXN // RXN-17795 // RXN-13617 // RXN-17782 // RXN-14274 // RXN-14268 // RXN-14277 // RXN-12565 // RXN-12561 // KETOACYLCOATHIOL-RXN // RXN-21786	EC-2.3.1.16 // EC-2.3.1.155 // EC-2.3.1.9
MONOMER-22003		hectochlorin non-ribosomal peptide synthase HctF // HctF	RXN-23063 // RXN-23067 // RXN-23065 // RXN-11115 // RXN-19463 // RXN-23066 // RXN-23068	EC-6.2.1.69
MONOMER-14042		demethylsterigmatocystin 6-O-methyltransferase // OmtB // AflO // DmtA	RXN-9500 // 2.1.1.109-RXN	EC-2.1.1.109
AT3G21230-MONOMER			RXN-10919 // 4-COUMARATE--COA-LIGASE-RXN	EC-6.2.1.12
CPLX-8966		(E)-hinokiresinol synthase	RXN-16372 // RXN-16368	
MONOMER-16380		15-<em>cis</em>-phytoene synthase // CrtB	RXN-13323 // 2.5.1.32-RXN // RXNARA-8002	EC-2.5.1.32
SM_B20957-MONOMER	GO:0009877 // GO:0044409 // GO:0000271	glucosyltransferase ExoA // ExoA	RXN-21322	EC-2.4.1
AT1G47510-MONOMER		phosphatidylinositol 5-phosphatase	RXN-10938 // RXN-10036 // PHOSPHATIDYLINOSITOL-BISPHOSPHATASE-RXN	EC-3.1.3 // EC-3.1.3.86 // EC-3.1.3.36
HS15665-MONOMER		sphingolipid C4-hydroxylase // degenerative spermatocyte homolog 2 // sphingolipid C4-monooxygenase	RXN-14250	EC-1.14.18.5
SGL_RS04445-MONOMER		1-acylglycerol-3-phosphate <em>O</em>-acyltransferase	RXN-16077 // RXN-16076 // RXN-16067	EC-2.3.1.51
AT1G13560-MONOMER		aminoalcoholphosphotransferase	ETHANOLAMINEPHOSPHOTRANSFERASE-RXN // RXN-20567 // RXN-20533 // RXN-20511 // RXN-19426 // RXN66-578 // RXN-5781	EC-2.7.8.1 // EC-2.7.8.2
MONOMER-17084		dTDP-4-dehydro-3-methyl-2,6-dideoxy-&alpha;-L-galactose 4-ketoreductase	RXN-12935	EC-1.1.1
CPLX-9033		long-chain acyl-protein thioester reductase	LONG-CHAIN-FATTY-ACYL-COA-REDUCTASE-RXN // RXN-17107	EC-1.2.1.50
MONOMER-18192		L-rhodosaminyltransferase // AknS	RXN-14853	EC-2.4.1.326
G3O-31694-MONOMER	GO:0006491	mannosylphosphate transferase MNN14	RXN-22693	EC-2.4.1
G185E-7205-MONOMER		phthiodiolone ketoreductase	RXN-17225 // RXN-17223	EC-1.1.1.M11
CPLX-8006		2,3-epoxybenzoyl-CoA dihydrolase	RXN-11054	EC-4.1.2.44
MONOMER18C3-51		phenylpropanoid volatile diglycoside glucosyltransferase	RXN18C3-54 // RXN18C3-58 // RXN18C3-59	EC-2.4.1
CPLX-7103			XYLULOKIN-RXN	EC-2.7.1.17
G6716-MONOMER	GO:0032787 // GO:0006635 // GO:0006631 // GO:0010124	YdbU // HbdH // PaaH // 3-hydroxyadipyl-CoA dehydrogenase (NAD<sup>+</sup>)	RXN0-2044	EC-1.1.1.35
G185E-4786-MONOMER		methoxy mycolic acid synthase 3 // MmaA3	RXN-15342 // RXN-15340	EC-2.1.1
MONOMER-13119			GUANINE-DEAMINASE-RXN	EC-3.5.4.3
CPLX-925		cyclohexanecarboxylate-CoA ligase	R281-RXN	EC-6.2.1
AT5G04620-MONOMER		BioF	7KAPSYN-RXN	EC-2.3.1.47
AT5G04040-MONOMER			RXN-12086 // TRIACYLGLYCEROL-LIPASE-RXN	EC-3.1.1.3 // EC-3.1.1.34
G185E-5309-MONOMER		2-trans-enoyl-ACP isomerase // EchA10	RXN1G-53 // RXN1G-674 // RXN1G-30	EC-5.3.3.14
GDQC-111218-MONOMER		L-tryptophan:pyruvate aminotransferase	RXN-10139	EC-2.6.1.99
MONOMER-15391			2.1.1.143-RXN	EC-2.1.1.143
CPLX-7323			PEPDEPHOS-RXN	EC-2.7.1.40
HS04318-MONOMER	GO:0006631 // GO:0006637 // GO:0001676 // GO:0000038	acyl-CoA thioesterase 2 (mitochondrial) // ZAP128 // peroxisomal long-chain acyl-coA thioesterase	PALMITOYL-COA-HYDROLASE-RXN // RXN-9624 // RXN-9626 // RXN-9627 // RXN-9628 // RXN-9629 // RXN-9666	EC-3.1.2.2
DMK-MONOMER	GO:0044281 // GO:0009233 // GO:0006744 // GO:0042371 // GO:0009234	YiiW // MenA	DMK-RXN	EC-2.5.1.74
MONOMER-18308		cyclic phosphate dihydrolase	RXN-14995 // RXN-14996	EC-3.1.4.57
CPLX-7151		(SoxCD)<sub>2</sub>	SOXA-FDENIT-RXN // RXN-18798	EC-1.8.2.6
ADENYLOSUCCINATE-SYN-DIMER		adenylosuccinate synthetase	ADENYLOSUCCINATE-SYNTHASE-RXN	EC-6.3.4.4
CPLX-8867		1,3,6,8-tetrahydroxynaphthalene synthase	RXN-9931	EC-2.3.1.233
CPLX-7693			RXN-9833	
MONOMER-124965		uridine phosphorylase // Udp	RXN-25225 // RXN-25247 // URPHOS-RXN // RXN-25217	EC-2.4.2.2 // EC-2.4.2.3
MONOMER-14027		AflD	RXN-9480	EC-1.1.1.349
MONOMER-21395		dTDP-Rha:&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-Gal-PP-Und &alpha;-1,2-rhamnosyltransferase // WbaQ	RXN-21848	EC-2.4.1.381
CPLX-85488		microsomal antiestrogen binding site // AEBS	RXN66-323 // RXN66-27 // RXN66-25 // RXN66-320 // RXN-8651 // RXN-8650	EC-1.3.1.21 // EC-5.3.3.5 // EC-3.3.2.11
MONOMER-20533		protopanaxadiol-type ginsenoside 3-<i>O</i>-glucosyltransferase	RXN-19696 // RXN-19698	EC-2.4.1.364
CPLX-3582		B12-dependent glycerol dehydratase	GLYCEROL-DEHYDRATASE-RXN	EC-4.2.1.30
SGL_RS10130-MONOMER		<i>sn</i>-1 oleoyl-lipid 12-desaturase // DesA // &Delta;12-desaturase // &Delta;12 acyl-lipid desaturase // acyl-lipid 12-desaturase	RXN-16068	EC-1.14.19.45
CPLX0-8614		dTDP-fucosamine acetyltransferase	TDPFUCACTRANS-RXN	EC-2.3.1.210
MONOMER-124854		pyridinium-3,5-biscarboxylic acid mononucleotide synthase // LarB	RXN-19042	EC-2.5.1.143
MONOMER-124967		thymidine phosphorylase // DeoA	RXN-25247 // THYM-PHOSPH-RXN // RXN-25225	EC-2.4.2.2 // EC-2.4.2.4
MONOMER-124710		non-ribosomal peptide synthase TxtB // TxtB // thaxtomin synthetase B	RXN-24683	
G7675-MONOMER	GO:0019262 // GO:0006974	<i>N</i>-acetylneuraminate anomerase // NanQ // YhcH // DUF386 domain-containing protein YhcH	RXN0-7389	
MONOMER-15860		acyl-CoA 5-desaturase	RXN-11678 // RXN-11677	EC-1.14.19.37
CPLX-6861			RXN-7561 // ARGININE-N-SUCCINYLTRANSFERASE-RXN	EC-2.3.1.109
MONOMER-17987		hercynylcysteine <i>S</i>-oxide lyase // EgtE	RXN-18088	
MONOMER-124303		GDP-mannose:di-<em>myo</em>-inositol-1,3&prime;-phosphate &beta;-1,2-mannosyltransferase // Mds // MDIP synthase // MMDIP synthase	RXN-19967 // RXN-19965 // RXN-19966	EC-2.4.1.361
CPLX0-8537		galactarate dehydratase	GALACTARDEHYDRA-RXN	EC-4.2.1.42
MONOMER-18728		bisindolylquinone prenyltransferase // TdiB	RXN-15621 // RXN-15622 // RXN-15609	EC-2.5.1
NADPHFER-MONOMER		ferredoxin-NADP+ oxidoreductase // adrenodoxin reductase // ferredoxin:NADP+ oxidoreductase // ferredoxin-NADP reductase	1.18.1.2-RXN // FLAVONADPREDUCT-RXN	EC-1.18.1.2 // EC-1.19.1.1
CPLX-9127		N-terminal methionine <i>N</i><sup>&alpha;</sup>-acetyltransferase NatB	RXN-17853 // RXN-17852 // RXN-17851 // RXN-17850	EC-2.3.1.254
ENTA-CPLX			DHBDEHYD-RXN	EC-1.3.1.28
CPLX-8237		7-cyano-7-deazaguanine tRNA-ribosyltransferase	RXN-12144	EC-2.4.2.48
AT5G17050-MONOMER		anthocyanidin 3-<i>O</i>-glucosyltransferase	RXN-17675 // RXN-7815 // 2.4.1.115-RXN // PELUDP-RXN // RXN1F-775	EC-2.4.1.115
MONOMER-125019		brassinin-associated &beta;-glucosidase	RXN-1444	EC-3.2.1.147
MONOMER-20359		hydroxychlorobactene glucoside lauroyltransferase // CruD // chlorobactene lauroyltransferase	RXN-19140	EC-2.3.1.M48
YDR297W-MONOMER		sphingolipid C4-hydroxylase // sphinganine C4-hydroxylase	RXN-20397 // RXN-14250 // RXN3O-1380	EC-1.14.18.5
MONOMER-20419		fatty acyl reductase/glycerone phosphate acyltransferase // bifunctional fatty acyl reductase/dihydroxyacetone phosphate acyltransferase // FARAT	RXN-16403 // RXN-17743 // RXN-16562 // RXN-19418 // RXN-17744 // RXN-16404 // RXN-16405 // RXN-25143 // RXN-9344 // RXN-15044 // 2.3.1.42-RXN	EC-1.2.1.84 // EC-2.3.1.42
CPLX-7724		mitochondrial glycerol-3-phosphate dehydrogenase // mGPDH	RXN-15745 // RXN0-5260 // RXN-15740	EC-1.1.5.3
MONOMER-17185		L-glutamine:2-deoxy-<i>scyllo</i>-inosose aminotransferase // KanB	RXN-13117 // RXN-13119	EC-2.6.1.100 // EC-2.6.1.101
CPLX-7766		6-deoxy-5-ketofructose 1-phosphate synthase	RXN-13144 // RXN-10053 // F16ALDOLASE-RXN	EC-2.2.1.11 // EC-4.1.2.13
CPLX66-337		S-adenosylmethionine synthase isoform type-1	S-ADENMETSYN-RXN	EC-2.5.1.6
MONOMER-13457		nitric oxide reductase (menaquinol) // NorZ // qNOR	RXN-12129	EC-1.7.5.2
MONOMER-13693		triterpene sapogenin UDP-glucosyltransferase	RXN-19690 // RXN-19689 // RXN-19688 // RXN-9036 // RXN-9037 // RXN-9038	EC-2.4.1
MONOMER-124261		cyathatriol 11-<i>O</i>-acetyltransferase // EriL	RXN-23556 // RXN-23535	EC-2.3.1
MONOMER-18439		dTDP-3,4-didehydro-2,6-dideoxy-&alpha;-D-glucose aminotransferase // EvaB // PCZA361.5 // ORF25	RXN-15233	EC-2.6.1
MONOMER-15993			RXN-11779 // RXN-11778	EC-4.2.3
MONOMER-124355		mannan &alpha;-1,2-mannosidase	RXN-23717	EC-3.2.1.137
MONOMER-18062		WcmC // WfbH // WbnJ	2.4.1.122-RXN // RXN-18266 // RXN-14561	EC-2.4.1.122
HP_RS00435-MONOMER	GO:0006099	malate:quinone oxidoreductase // Mqo	RXNI-3	EC-1.1.5.4
MONOMER-124535		<i>N</i>-acetylthienamycin desaturase/<i>S</i>-oxygenase // ThnG	RXN-24251 // RXN-24247 // RXN-24248 // RXN-24250 // RXN-24243 // RXN-24244	EC-1.14.11.M40
AT5G57850-MONOMER		Branched-chain-amino-acid aminotransferase-like protein 3, chloroplastic	ADCLY-RXN	EC-4.1.3.38
MONOMER-14991		Odc	ORNDECARBOX-RXN	EC-4.1.1.17
HS05836-MONOMER		mitochondrial hydroxymethylglutaryl-CoA synthase // 3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial) // 3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2	HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN	EC-2.3.3.10
CPLX-8104		flavin-dependent thymidylate synthase // thymidylate synthase X	RXN-8850	EC-2.1.1.148
EG10863-MONOMER	GO:0006364 // GO:0016075 // GO:0008033 // GO:0031125 // GO:0042780	truncated RNase PH // Rph // truncated ribonuclease PH // truncated RNase PH	RXN0-6482 // 2.7.7.8-RXN // TRNA-NUCLEOTIDYLTRANSFERASE-RXN	EC-2.7.7.56 // EC-2.7.7.8
MONOMER-124607		non-ribosomal peptide synthase condensation domain	RXN-24451	
MONOMER-9423		homoserine <i>O</i>-transacetylase	HOMOSERINE-O-ACETYLTRANSFERASE-RXN	EC-2.3.1.31
MONOMER-14260			CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	EC-2.1.1.104
MONOMER-19714		bacteriochlorophyllide <i>c</i> C-7<sup>1</sup>-hydroxylase // BciD	RXN-18422 // RXN-18423 // RXN-18424 // RXN-18425 // RXN-17456 // RXN-18418 // RXN-17457 // RXN-18414 // RXN-17459 // RXN-18420 // RXN-17458 // RXN-18416 // RXN-18417 // RXN-18421 // RXN-18419 // RXN-18415 // RXN-18413 // RXN-17454 // RXN-18412	EC-1.17.98.2
MONOMER-17296		GenQ // GenK // GacD // GntK	RXN-13235 // RXN-17200 // RXN-23822 // RXN-23823	EC-2.1.1.390 // EC-2.1.1
CPLX-7875		seryl-tRNA synthetase // SerRS	SERINE--TRNA-LIGASE-RXN // RXN-23896 // RXN0-2161 // ENTF-RXN // RXN-23912	EC-6.1.1.11
HP_RS01940-MONOMER	GO:0009245	UDP-2,3-diacylglucosamine hydrolase // LpxH	RXN2DNV-1	EC-3.6.1.54
MONOMER-124587		1-keto-D-<i>chiro</i>-inositol 1-aminotransferase	RXN-24428 // RXN-24426	EC-2.6.1
CPLX-9237		prolyl 3-hydroxylase 1 complex	5.3.4.1-RXN // PEPTIDYLPROLYL-ISOMERASE-RXN // PROCOLLAGEN-PROLINE-3-DIOXYGENASE-RXN	EC-5.3.4.1 // EC-5.2.1.8 // EC-1.14.11.7
CPLX-302		methyl-coenzyme M reductase // methyl-CoM reductase	RXN-8410 // R527-RXN // R526-RXN // R525-RXN // METHYL-COM-HTP-RXN	EC-1.14.15 // EC-2.8.4.1
GLYCOGENSYN-MONOMER	GO:0006974 // GO:0005978	glycogen synthase // GlgA	GLYCOGENSYN-RXN	EC-2.4.1.21
MONOMER-16346		GlmU	RXN-12232	EC-2.3.1
MONOMER-17096		4-coumaroyl 2-hydroxylase	RXN-12349 // RXN-12963	EC-1.14.11.61 // EC-1.14.11.62
EG11494-MONOMER	GO:0009252 // GO:0071555 // GO:0000270 // GO:0000910	endolytic murein transglycosylase // YceG // MltG	RXN-17393	EC-4.2.2.29
CPLX-9311		fatty acid kinase FakAB1	RXN-21791 // RXN-19812 // RXN-21792 // RXN-19811 // RXN-19813 // RXN2PN2-4 // RXN2PN2-6 // RXN2PN2-2 // RXN-19807 // RXN-19809 // RXN-19810	EC-2.7.2.14 // EC-2.7.2.18 // EC-2.7.2.7
MONOMER-17659		ErmE	RXN-11597	EC-2.1.1.184
MONOMER-15111			RXN-10871	
MONOMER-21472		UDP-galactose:&alpha;-L-FucNAc-(1&rarr;3)-&alpha;-D-GlcNAc-PP-undecaprenol &beta;-(1,3)-galactosyltransferase // WbuS	RXN-22071	EC-2.4.1
CPLX-9679		trifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase/thiamine phosphate synthase	RXN-12610 // PYRIMSYN3-RXN // OHMETPYRKIN-RXN	EC-2.5.1.3 // EC-2.7.4.7 // EC-2.7.1.49
CPLX-5741			1.8.1.15-RXN	EC-1.8.1.15
CPLX-7127		&beta;-lysine mutase	BETA-LYSINE-56-AMINOMUTASE-RXN	EC-5.4.3.3
MONOMER-19967		undecaprenyl-phosphate <i>N</i>-acetylglucosaminyl 1-phosphate transferase // TarO	GLCNACPTRANS-RXN	EC-2.7.8.33
MONOMER-124359		&alpha;-1,6-endo-mannanase	RXN-23722	EC-2.4.1
CPLX-7236			GLUCONATE-2-DEHYDROGENASE-RXN	EC-1.1.99.3
MONOMER-15025		&alpha; pyrone polyketide synthase	RXN-10794 // RXN-10796	EC-2.3.1
CPX-995	GO:1990145 // GO:0002949 // GO:0000723	KEOPS complex // Endopeptidase-like Kinase Chromatin-associated complex // EKC complex // Kinase, putative Endopeptidase, and Other Proteins of Small size complex // N(6)-L-threonylcarbamoyladenine synthase complex	RXN-14570	EC-2.3.1.234
MONOMER-14811		cathepsin K	3.4.22.38-RXN // RXN-10474 // RXN-10477	EC-3.4.22.38
CPLX-7423			GSAAMINOTRANS-RXN	EC-5.4.3.8
MONOMER-22085		clorobiocin 3''-<i>O</i> acyltransferase	RXN-23160	
AT5G26310-MONOMER			2.4.1.111-RXN	EC-2.4.1.111
MONOMER-124872		L-tryptophan 4-peroxygenase	RXN-25097	EC-1.11.2.M5
MONOMER-21261		3-hydroxy-L-glutamine <i>N</i>-hydroxylase // IboF	RXN-21518	EC-1.14.13
ENSG00000114779-MONOMER	GO:0045944	protein-<i>N</i><sup>6</sup>-acetyl-L-lysine:CoA acetyltranferase // CCG1-interacting factor B // &alpha;/&beta; hydrolase domain-containing protein 14B // lysine deacetylase	HISTONE-ACETYLTRANSFERASE-RXN // RXN0-7160	EC-2.3.1.48 // EC-2.3.1.fh
MONOMER-124695		KtmC	RXN-24652	
MONOMER-124939		ecgonone synthase	RXN-25187	EC-1.14.14.194
HS03991-MONOMER	GO:0006810 // GO:0006694	Non-specific lipid-transfer protein // NSL-TP // SCP-2 // SCP-chi // SCP-X // SCPX // Sterol carrier protein 2 // Sterol carrier protein X	RXN-17791 // RXN-17787 // RXN-17778 // RXN-16561 // RXN-16560 // 2.3.1.155-RXN // RXN-17795 // RXN-13617 // RXN-17782 // RXN-14274 // RXN-14268 // RXN-14277 // RXN-12565 // RXN-12561 // KETOACYLCOATHIOL-RXN	EC-2.3.1.16 // EC-2.3.1.155 // EC-2.3.1.9
CPLX-9132		RNA/DNA ligase (ATP)	RXN-17938 // RXN-17937 // DNA-LIGASE-ATP-RXN // RXN-17917 // RXN-17918 // RXN-17919 // RNA-LIGASE-ATP-RXN // RXN-17925 // RXN-17926 // RXN-17927 // RNA-3-PHOSPHATE-CYCLASE-RXN // RXN-17930 // RXN-17931 // RXN-17928	EC-6.5.1.M2 // EC-6.5.1.7 // EC-6.5.1.1 // EC-6.5.1.6 // EC-6.5.1.3 // EC-6.5.1.4
CPLX-7914		tyrosine aminotransferase // tyrosine transaminase // tyrosine-&alpha;-ketoglutarate transaminase	TYROSINE-AMINOTRANSFERASE-RXN	EC-2.6.1.1 // EC-2.6.1.57 // EC-2.6.1.5 // EC-2.6.1.27
HS06868-MONOMER		phenylethanolamine <i>N</i>-methyltransferase // noradrenaline <i>N</i>-methyltransferase // noradrenalin <i>N</i>-methyltransferase // norepinephrine methyltransferase // norepinephrine <i>N</i>-methyltransferase // phenethanolamine methyltransferase // phenethanolamine <i>N</i>-methyltransferase	2.1.1.28-RXN // RXN66-241	EC-2.1.1.28
MONOMER-13406		deacetoxycephalosporin C synthase / deacetoxycephalosporin C hydroxylase // deacetoxycephalosporin/deacetylcephalosporin C synthase // deacetoxycephalosporin C synthetase/hydroxylase	1.14.11.26-RXN // 1.14.20.1-RXN	EC-1.14.11.26 // EC-1.14.20.1
CPLX-85415		L-serine dehydratase	4.3.1.17-RXN // RXN-15125	EC-4.3.1.17
MONOMER-15573		GmhA	RXN0-4301	EC-5.3.1.28
MONOMER-20471		L-cysteine--[L-cysteinyl-carrier protein] ligase // AngR	RXN-23083 // RXN-19464 // RXN-11115 // RXN-19463	EC-6.2.1.69
MONOMER-16102		1,2-dihydroxyethylphosphonate kinase // DhpB	RXN-12007	EC-2.7.1
CPLX4LZ-294		cytochrome <i>b<sub>6</sub>f</i> complex	PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN	EC-7.1.1.6
MONOMER-10303		cysteine-<i>S</i>-conjugate &beta;-lyase // Lcd // L-cysteine &beta; lyase // L-cysteine desulfhydrase	RXN-19550 // RXN-19544 // RXN-19554 // RXN-19547 // RXN-19562 // RXN-19552 // RXN-19556 // S-ALKYLCYSTEINE-LYASE-RXN // RXN-6763 // RXN-15582	EC-4.4.1.13
HS09270-MONOMER		type IV inositol polyphosphate 5-phosphatase // inositol polyphosphate-5-phosphatase, 72kDa	PHOSPHATIDYLINOSITOL-BISPHOSPHATASE-RXN // RXN-10036	EC-3.1.3.36 // EC-3.1.3.86
CPLX-85574		3-cyano-L-homoalanine synthase	RXN-25604 // ATP-PYROPHOSPHATASE-RXN // RXN-25606 // RXN-25605	EC-4.2.1.186 // EC-3.6.1.8 // EC-6.3.5
CPLX-7936		myo-inositol monophosphatase 2 // myo-inositol monophosphatase A2 // inositol(myo)-1(or 4)-monophosphatase 2	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN // RXN-10949 // RXN0-5408 // RXN-10952 // RXN-10953 // RXN-10954	EC-3.1.3.25
EG11796-MONOMER	GO:0009249	lipoate&mdash;protein ligase A // YjjF // Slr // LplA // Slr1 // lipoyl-protein ligase A	RXN-13039 // RXN0-1141 // RXN-17127 // RXN-8654 // RXN-8655 // RXN-25163 // RXN0-5098 // RXN0-7423 // RXN-24036	EC-6.3.1.20
GDHA-CPLX		glutamate dehydrogenase	GLUTDEHYD-RXN	EC-1.4.1.4
MONOMER-15789		chondroitin sulfate ABC exolyase // chondroitin sulfate ABC lyase II	RXN-11615 // RXN-11577 // 4.2.2.21-RXN	EC-4.2.2.21
MONOMER-18146		ecdysteroid 22-kinase // Eck	RXN-14755 // RXN-14733	EC-2.7.1
MONOMER-11670		7-methylxanthosine synthase // xanthosine:SAM methyltransferase // xanthosine N-methyltransferase // xanthosine methyltransferase	RXN-7596	EC-2.1.1.158
MONOMER-14711			RXN-10244	
MONOMER-13651		oleanolate glucuronosyltransferase // oleanolate UDP-glucuronosyltransferase	RXN-9000	EC-2.4.1.17
MONOMER-18658		flavonoid 4'-<i>O</i>-methyltransferase	RXN-15530 // RXN-15529 // RXN-14750	EC-2.1.1
HS07366-MONOMER		mitochondrial malate dehydrogenase // malate dehydrogenase 2, NAD (mitochondrial) // mitochondrial malate dehydrogenase precursor	MALATE-DEH-RXN	EC-1.1.1.37
CPLX-8993		1,5-anhydro-<small>D</small>-fructose dehydratase	4.2.1.111-RXN	EC-4.2.1.111
MONOMER-14251		dimethylsulfone monooxygenase // SfnG	RXN-14709	EC-1.14.14.35
G6958-MONOMER		NADH-dependent methylglyoxal reductase // YdjG	RXN0-5213	EC-1.1.1
AT1G67830-MONOMER		&alpha;-fucosidase	RXN-19378 // ALPHA-L-FUCOSIDASE-RXN	EC-3.2.1.51
MONOMER-19505		arylformamidase // AcmF	ARYLFORMAMIDASE-RXN	EC-3.5.1.9
MONOMER-124906		enoyl-CoA hydratase	RXN-14273 // RXN-20675 // RXN-13616 // RXN-20678 // RXN-12567 // RXN-11667	EC-4.2.1.17 // EC-4.2.1.74 // EC-4.2.1.150
AT5G36150-MONOMER		tirucalla-7,24-diene-3&beta;-ol synthase	RXN-12326	EC-5.4.99.56
