	Pathways	Naive	MinPath	Total families	Families found	Ontology - pathway type	Names	Common-Name-Taxa
42	PWY-7586	Yes	Yes	3	1	Carbohydrates-Degradation	&beta;-1,4-D-mannosyl-<i>N</i>-acetyl-D-glucosamine degradation	Alistipes finegoldii,Bacteroides fragilis,Bacteroides helcogenes,Phocaeicola salanitronis,Bacteroides thetaiotaomicron,Phocaeicola vulgatus,Parabacteroides distasonis,Prevotella dentalis,Prevotella denticola,Prevotella melaninogenica
43	PWY-8595	Yes	Yes	6	3	SECONDARY-METABOLITE-BIOSYNTHESIS	koreenceine B biosynthesis	Pseudomonas koreensis
44	FERMENTATION-PWY	Yes	Yes	16	12	Super-Pathways // Energy-Metabolism	mixed acid fermentation // fermentation	Escherichia coli
45	ARG-GLU-PWY	Yes	Yes	2	1	Amino-Acid-Degradation	L-arginine degradation VII (arginase 3 pathway)	Agrobacterium tumefaciens,Brucella melitensis,Rhizobiaceae,Sinorhizobium meliloti Rm2011
46	PWY-6587	Yes	Yes	3	2	Energy-Metabolism	pyruvate fermentation to ethanol III // pyruvic acid fermentation to ethanol III	Clostridium acetobutylicum,Clostridium pasteurianum
47	PWY-8204	Yes	Yes	3	2	Glycan-Pathways // Cell-Structure-Biosynthesis // Carbohydrates-Biosynthesis	<i>Salmonella enterica</i> serotype O:54 O antigen biosynthesis // group O:54 <i>Salmonella</i> O antigen biosynthesis	Salmonella enterica
48	DENITRIFICATION-PWY	Yes	No	4	1	Noncarbon-Nutrients // Energy-Metabolism	nitrate reduction I (denitrification) // denitrification // nitrate respiration	Fusarium oxysporum,Haloarcula marismortui,Paracoccus denitrificans,Pseudomonas aeruginosa,Pseudomonas fluorescens,Stutzerimonas stutzeri
49	PWY-6983	Yes	Yes	3	2	Cofactor-Biosynthesis	<i>threo</i>-tetrahydrobiopterin biosynthesis	Chlorobaculum tepidum
50	PWY-7663	Yes	Yes	4	4	Lipid-Biosynthesis	gondoate biosynthesis (anaerobic) // <i>cis</i>-11-icosenoate biosynthesis // (11<i>Z</i>)-icos-11-enoate biosynthesis // (11<i>Z</i>)-icosenoate biosynthesis // gondoic acid biosynthesis // 11-eicosenoic acid biosynthesis	Aerococcus viridans
51	TOLUENE-DEG-DIOL-PWY	Yes	No	4	1	AROMATIC-COMPOUNDS-DEGRADATION	toluene degradation to 2-hydroxypentadienoate (<I>via</I> toluene-<I>cis</I>-diol) // toluene degradation <I>via</I> toluene-<I>cis</I>-diol	Pseudomonas putida
