Pathways	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity
ECASYN-PWY	Polysaccharides-Biosynthesis	Carbohydrates-Biosynthesis // Glycan-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS
PWY-5118	FLAVANONES-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways
PWY-7460	CINNAMATE-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions
OXIDATIVEPENT-PWY	Pentose-Phosphate-Cycle	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6297	Glycosylation-Pathways // Inactivation	Other-biosynthesis // Activation-Inactivation-Interconversion	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS
ORNARGDEG-PWY	Super-Pathways // ARGININE-DEG	Pathways // Proteinogenic-Amino-Acids-Degradation	Generalized-Reactions // Amino-Acid-Degradation	FRAMES // Degradation	THINGS // Pathways	 // Generalized-Reactions
PWY-7783	Fatty-Acid-and-Lipid-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7310	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7684	Glycolipids-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-8283	Lipid-IV-A-Biosynthesis	Lipid-Biosynthesis // Lipopolysaccharide-Biosynthesis	Biosynthesis // Cell-Structure-Biosynthesis // Glycan-Pathways	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
PWY-7161	FLAVONE-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways
PWY0-41	Super-Pathways // Allantoin-degradation	Pathways // AMINE-DEG	Generalized-Reactions // Degradation	FRAMES // Pathways	THINGS // Generalized-Reactions	 // FRAMES
PWY-5935	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-5366	Palmitoleate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways
PWY-735	FATTY-ACID-DERIVATIVE-SYN // Jasmonates-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS // Plant-Hormone-Biosynthesis	Biosynthesis // Hormone-Biosynthesis	Pathways // HORMONE-SYN	Generalized-Reactions // Biosynthesis	FRAMES // Pathways
PWY-5788	Indole-3-Acetate-Inactivation	Inactivation	Activation-Inactivation-Interconversion	Pathways	Generalized-Reactions	FRAMES
PWY-7959	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-5123	All-Trans-Farnesyl-PP-Biosynthesis	All-Trans-Polyprenyl-Biosynthesis	Polyprenyl-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-7137	FLAVONOL-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways
PWY-8377	Acetate-Formation	Fermentation-to-Acids	Fermentation	Energy-Metabolism	Pathways	Generalized-Reactions
PWY-7773	Gamma-Resorcylate-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-8551	GLYCINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-8509	Selenium-Metabolism	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY66-161	Ethanol-Degradation	Alcohol-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY0-1264	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS	
PWY-7022	Paromamine-Biosynthesis	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-5941	Glycan-Pathways // Glycogen-Degradation	Pathways // POLYSACCHARIDES-DEG	Generalized-Reactions // Carbohydrates-Degradation // Polymer-Degradation	FRAMES // Degradation	THINGS // Pathways	 // Generalized-Reactions
AMMASSIM-PWY	Ammonia-Assimilation	NITROGEN-DEG	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions
PWY-6901	Sugars-And-Polysaccharides-Degradation // Super-Pathways	Carbohydrates-Degradation // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
PWY-8508	GLYCEROL-DEG	SUGAR-ALCOHOLS-DEG	Alcohol-Degradation // Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions
PWY66-21	Ethanol-Degradation	Alcohol-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY66-367	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS	
PWY-8582	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-8346	4-Aminobutyraye-Degradation // GLUTAMATE-DEG // Super-Pathways	AMINE-DEG // Proteinogenic-Amino-Acids-Degradation // Pathways	Degradation // Amino-Acid-Degradation // Generalized-Reactions	Pathways // Degradation // FRAMES	Generalized-Reactions // Pathways // THINGS	FRAMES // Generalized-Reactions // 
GLUTAMINEFUM-PWY	GLUTAMINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
PWY66-421	Dipeptide-Biosynthesis	Metabolic-Regulators	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-8391	D-Galacturonate-Degradation	SUGAR-ACIDS-DEG	CARBOXYLATES-DEG // Sugars-And-Polysaccharides-Degradation	Degradation // Carbohydrates-Degradation	Pathways // Degradation	Generalized-Reactions // Pathways
PWY-6991	Camphor-Biosynthesis	MONOTERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-6464	Alcohol-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6556	Pyrimidine-Nucleotide-Salvage // Pyrimidine-Ribonucleosides-Degradation	PYR-NUC-SYN // Pyrimidine-Degradation	Nucleotide-Biosynthesis // NUCLEO-DEG	Biosynthesis // Degradation	Pathways	Generalized-Reactions
PWY-1901	AURONE-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways
PWY-7035	Alkenes-Biosynthesis	Olefins-Biosynthesis	Hydrocarbon-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-8538	Menaquinone-Biosynthesis // Super-Pathways	Quinone-Biosynthesis // Pathways	Electron-Carrier-Biosynthesis // Generalized-Reactions	Carriers-Biosynthesis // FRAMES	Cofactor-Biosynthesis // THINGS	Biosynthesis // 
PWY-8401	Cardiolipin-Biosynthesis // Super-Pathways	Phospholipid-Biosynthesis // Pathways	Lipid-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-8484	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
HOMOCYSDEGR-PWY	CYSTEINE-SYN // HOMOCYSTEINE-DEG	IND-AMINO-ACID-SYN // Amino-Acid-Degradation	Amino-Acid-Biosynthesis // Degradation	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-6963	Ammonia-Assimilation // Super-Pathways	NITROGEN-DEG // Pathways	Noncarbon-Nutrients // Generalized-Reactions	Degradation // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY2O6K-7	AEROBIC-RESPIRATION // Electron-Transfer	Respiration // Energy-Metabolism	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS
PWY-8259	Arsenic-Detoxification	Detoxification	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7704	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
HOMOSER-METSYN-PWY	Methionine-De-novo-Biosynthesis	METHIONINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways
PWY-142	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6753	Methylthioadenosine-Degradation	NUCLEO-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-7341	Super-Pathways // TROPANE-ALKALOIDS	Pathways // ALKALOIDS-SYN	Generalized-Reactions // N-CONTAINING-SECONDARY-CMPD-SYN	FRAMES // SECONDARY-METABOLITE-BIOSYNTHESIS	THINGS // Biosynthesis	 // Pathways
PWY-6689	tRNA-Splicing	Nucleic-Acid-Processing	Macromolecule-Modification	Pathways	Generalized-Reactions	FRAMES
PWY-8546	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-7555	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-5491	Phosphorus-Compounds	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-7511	Protein-Modification	Macromolecule-Modification	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6219	Indole-3-Acetate-Inactivation	Inactivation	Activation-Inactivation-Interconversion	Pathways	Generalized-Reactions	FRAMES
PWY-6873	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS	
PWY-7523	ARGININE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-5925	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-4521	AEROBIC-RESPIRATION // Arsenic-Detoxification // CHEMOAUTOTROPHIC-ENERGY-METABOLISM // Electron-Transfer	Respiration // Detoxification // Energy-Metabolism	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS
PWY2DDB-9	Conjugated-Fatty-Acid-Biosynthesis	PUFA-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis
PWY-7149	FLAVONOL-SYN // Super-Pathways	FLAVONOID-SYN // Pathways	PHENYLPROPANOID-SYN // Generalized-Reactions	AROMATIC-COMPOUNDS-BIOSYN // FRAMES	Biosynthesis // THINGS	Pathways // 
PWY-7280	ANTHOCYANIN-SYN	FLAVONOID-SYN // Pigment-Biosynthesis	PHENYLPROPANOID-SYN // SECONDARY-METABOLITE-BIOSYNTHESIS	AROMATIC-COMPOUNDS-BIOSYN // Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions
PWY-7600	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-5817	All-Trans-Polyprenyl-Biosynthesis	Polyprenyl-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-5479	LIGNAN-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions
PWY-8578	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-5428	Xylene-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-5308	CHEMOAUTOTROPHIC-ENERGY-METABOLISM // Sulfite-Oxidation // Super-Pathways // Thiosulfate-Disproportionation	Energy-Metabolism // Sulfur-Metabolism // Pathways	Pathways // Noncarbon-Nutrients // Generalized-Reactions	Generalized-Reactions // Degradation // FRAMES	FRAMES // Pathways // THINGS	THINGS // Generalized-Reactions // 
LACTOSEUTIL-PWY	LACTOSE-DEG	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-7232	GIBBERELLINS-BIOSYNTHESIS	GIBBERELLIN-SYN	DITERPENOID-SYN // Plant-Hormone-Biosynthesis	Terpenoid-Biosynthesis // Hormone-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS // HORMONE-SYN	Biosynthesis
PWY-5643	Dinitrotoluene-Degradation	Nitroaromatic-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions
PWY-7578	Phycobilin-Biosynthesis	Porphyrin-Compounds-Biosynthesis	Tetrapyrrole-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-5482	Pyruvate-Acetate-Fermentation	Acetate-Formation // Pyruvate-Degradation	Fermentation-to-Acids // Fermentation	Fermentation // Energy-Metabolism	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions
PWY-6427	Rotenoids-Biosynthesis	ISOFLAVONOID-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis
PWY-6645	DITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-5747	Methyl-Citrate-Cycle	Propionate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions
PWY-7421	Macrolides-Biosynthesis	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-7177	UTP-CTP-Dephosphorylation	Pyrimidine-Ribonucleosides-Degradation	Pyrimidine-Degradation	NUCLEO-DEG	Degradation	Pathways
PWY-6504	2-Aminobenzoate-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-6622	Alkanes-Biosynthesis	Hydrocarbon-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-7131	CMP-Legionaminate-Biosynthesis	CMP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis
PWY-5082	METHIONINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-7192	FLAVONOL-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways
PWY-116	LIGNIN-SYN // PHENYLPROPANOID-DERIVATIVE-DEG	PHENYLPROPANOID-SYN // Phenolic-Compounds-Degradation	AROMATIC-COMPOUNDS-BIOSYN // AROMATIC-COMPOUNDS-DEGRADATION	Biosynthesis // Degradation	Pathways	Generalized-Reactions
PWY4FS-6	PhosphatidylethanolamineBiosynthesis	Phospholipid-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
GLUAMCAT-PWY	N-Acetylglucosamine-Degradation	AMINE-DEG // Sugar-Derivatives	Degradation // Sugars-And-Polysaccharides-Degradation	Pathways // Carbohydrates-Degradation	Generalized-Reactions // Degradation	FRAMES // Pathways
PWY-8603	GPI-Anchor-Biosynthese	Protein-Modification	Macromolecule-Modification	Pathways	Generalized-Reactions	FRAMES
PWY-6403	Polysaccharides-Biosynthesis	Carbohydrates-Biosynthesis // Glycan-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS
PWY-5509	Adenosylcobamide-Biosynthesis	Cobamide-De-Novo-Biosynthesis	Cobalamin-Biosynthesis	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
NADPHOS-DEPHOS-PWY-1	NAD-Metabolism	Electron-Carrier-Biosynthesis // Enzyme-Cofactor-Biosynthesis	Carriers-Biosynthesis // Cofactor-Biosynthesis	Cofactor-Biosynthesis // Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions
PWY-6993	Nicotine-Degradation	Other-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-7026	Alkenes-Biosynthesis	Olefins-Biosynthesis	Hydrocarbon-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-5849	Menaquinone-Biosynthesis	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-8327	POLYKETIDE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6265	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-6396	Butanediol-Biosynthesis // Super-Pathways	Other-biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
PWY-5724	Atrazine-Degradation // Super-Pathways	s-Triazine-Degradation // Pathways	AROMATIC-COMPOUNDS-DEGRADATION // Generalized-Reactions	Degradation // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-6744	Hydrogen-Production	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY2O6K-6	AEROBIC-RESPIRATION // Electron-Transfer	Respiration // Energy-Metabolism	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS
PWY-5390	FLAVONOL-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways
PWY-6038	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6566	Glycosaminoglycans-Biosynthesis	Polysaccharides-Biosynthesis	Carbohydrates-Biosynthesis // Glycan-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-6477	GIBBERELLINS-DEGRADATION // Gibberellin-Inactivation // Metabolic-Clusters	PLANT-HORMONE-DEG // Inactivation // Pathways	HORMONE-DEG // Activation-Inactivation-Interconversion // Generalized-Reactions	Degradation // Pathways // FRAMES	Pathways // Generalized-Reactions // THINGS	Generalized-Reactions // FRAMES // 
PWY-7182	MONOTERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-6089	3-Chlorocatechol-Degradation	Chlorocatechol-Degradation	Chloroaromatic-Compounds-Degradation	CHLORINATED-COMPOUNDS-DEG // AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways
PWY-7366	Fatty-Acid-and-Lipid-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7624	Macrolides-Biosynthesis	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-6145	CMP-Sugar-Biosynthesis // Super-Pathways	SUGAR-NUCLEOTIDES // Pathways	CARBO-BIOSYNTHESIS // Generalized-Reactions	Carbohydrates-Biosynthesis // FRAMES	Biosynthesis // THINGS	Pathways // 
PWY-8489	POLYKETIDE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-8192	O-Antigen-Biosynthesis	Lipopolysaccharide-Biosynthesis // Polysaccharides-Biosynthesis	Cell-Structure-Biosynthesis // Glycan-Pathways // Carbohydrates-Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-5838	Menaquinone-Biosynthesis // Super-Pathways	Quinone-Biosynthesis // Pathways	Electron-Carrier-Biosynthesis // Generalized-Reactions	Carriers-Biosynthesis // FRAMES	Cofactor-Biosynthesis // THINGS	Biosynthesis // 
PWY-7371	14-Dihydroxy-6-Naphthoate-Biosynthesis	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-5529	Chlorophyll-a-Biosynthesis // Super-Pathways	Chlorophyll-Biosynthesis // Pathways	Pigment-Biosynthesis // Porphyrin-Compounds-Biosynthesis // Generalized-Reactions	SECONDARY-METABOLITE-BIOSYNTHESIS // Tetrapyrrole-Biosynthesis // FRAMES	Biosynthesis // THINGS	Pathways // 
PWY0-1314	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
TYRFUMCAT-PWY	TYROSINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-7434	Protein-Glycosylation // Super-Pathways	Carbohydrates-Biosynthesis // Glycan-Pathways // Protein-Modification // Pathways	Biosynthesis // Pathways // Macromolecule-Modification // Generalized-Reactions	Pathways // Generalized-Reactions // FRAMES	Generalized-Reactions // FRAMES // THINGS	FRAMES // THINGS // 
PWY-5875	C30-Carotenoids-Biosynthesis // TRITERPENOID-SYN	CAROTENOID-SYN // TRITERPENOID-SYN // Terpenoid-Biosynthesis	Pigment-Biosynthesis // Terpenoid-Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS // Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions
PWY-8478	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY0-1517	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS	
PWY-6763	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY66-382	Hormone-Biosynthesis	HORMONE-SYN	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6443	Benzoate-Biosynthesis // Super-Pathways	AROMATIC-COMPOUNDS-BIOSYN // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
PWY-7780	Hydrocarbon-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY3DJ-35471	Ascorbate-Biosynthesis	Carboxylate-Biosynthesis // Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	Biosynthesis // Cofactor-Biosynthesis	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
PWY-2904	ISOFLAVONOID-PHYTOALEXINS // ISOFLAVONOID-SYN // Interconversion	PHYTOALEXIN-SYN // FLAVONOID-SYN // Activation-Inactivation-Interconversion	Toxin-Biosynthesis // PHENYLPROPANOID-SYN // Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // AROMATIC-COMPOUNDS-BIOSYN // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS
PWY-7339	Fatty-Acid-Degradation	Fatty-Acid-and-Lipid-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-8453	D-Amino-Acid-Degradation	MISCELLANEOUS-DEG	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-6280	C40-Carotenoids-Biosynthesis	CAROTENOID-SYN // TETRATERPENOID-SYN	Pigment-Biosynthesis // Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-7156	Ergosterol-Biosynthesis // Super-Pathways	Sterol-Biosynthesis // Pathways	Lipid-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-7971	B12-Salvage-From-Cobinamide	Cobamide-Salvage	Cobalamin-Biosynthesis	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-3881	Sugar-Alcohols-Biosynthesis	Carbohydrates-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6412	Ginsenoside-Degradation	TERPENOID-DEG	SECONDARY-METABOLITE-DEGRADATION	Degradation	Pathways	Generalized-Reactions
PWY-7845	Heme-Degradation	Tetrapyrrole-Degradation	Other-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-6978	Plastoquinone-Biosynthesis	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-6068	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-8173	Branched-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-6565	Polyamine-Biosynthesis // Super-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 
PWY-841	Purine-Nucleotide-De-Novo-Biosynthesis // Super-Pathways	PUR-NUC-SYN // Pathways	Nucleotide-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-6266	Super-Pathways	Pathways	Generalized-Reactions	FRAMES	THINGS	
PWY-7908	Formaldehyde-Oxidation	C1-COMPOUNDS	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-7565	POLYKETIDE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
